Program 0
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 10	85	52	56	74	22	88	
		Student 11	65	23	88	74	60	59	
		Student 12	11	53	55	69	15	21	
		Student 13	18	93	59	74	90	43	
		Student 14	69	53	78	43	47	17	
		Student 15	83	39	99	16	26	99	
		Student 16	93	11	13	93	58	20	
		Student 17	50	68	75	11	97	35	
		Student 18	22	12	80	49	78	90	
		Student 19	37	64	87	84	50	58	
		Student 20	28	87	58	13	87	79	
		Student 21	21	84	43	37	19	54	
		Student 22	39	25	64	61	79	88	
		Student 23	68	85	22	86	73	92	
		Student 24	41	15	82	58	29	14	
		Student 25	92	42	38	72	23	76	
		Student 26	31	93	95	72	52	40	
		Student 27	80	74	66	34	83	36	
		Student 28	27	12	96	64	14	51	
		Student 29	26	29	66	55	26	59	
		Student 30	97	42	59	44	94	79	
		Student 31	98	62	27	53	84	68	
		Student 32	96	86	32	14	18	34	
		Student 33	27	98	95	22	82	41	
		Student 34	10	13	34	84	73	16	
		Student 35	98	12	86	83	39	73	
		Student 36	41	56	55	74	58	31	
		Student 37	36	11	26	38	25	92	
		Student 38	78	65	85	38	20	60	
		Student 39	14	73	77	90	72	19	
		Student 40	92	28	39	44	94	91	
		Student 41	95	69	63	41	25	40	
		Student 42	73	89	69	93	31	95	
		Student 43	73	23	77	88	12	70	
		Student 44	45	59	68	11	33	88	
		Student 45	80	46	31	64	54	89	
		Student 46	61	23	18	56	39	98	
		Student 47	23	85	88	81	77	87	
		Student 48	57	90	13	24	36	74	
		Student 49	53	43	93	81	81	73	
	Semester 2
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	63	62	19	64	76	90	
		Student 1	72	22	80	72	38	38	
		Student 2	50	35	86	79	34	65	
		Student 3	80	93	87	52	74	83	
		Student 4	60	98	31	79	38	75	
		Student 5	48	92	28	62	14	90	
		Student 6	57	25	22	22	32	84	
		Student 7	40	90	13	27	40	82	
		Student 8	75	90	36	17	65	93	
		Student 9	13	90	14	26	86	95	
		Student 10	39	17	69	43	86	67	
		Student 11	74	13	20	83	23	83	
		Student 12	49	63	65	99	40	99	
		Student 13	20	60	16	63	55	79	
		Student 14	72	74	43	86	21	97	
		Student 15	75	39	76	25	82	31	
		Student 16	78	75	19	75	94	13	
		Student 17	35	49	84	58	10	86	
		Student 18	73	48	49	84	59	95	
		Student 19	29	49	53	74	80	73	
		Student 20	43	15	46	11	92	71	
		Student 21	86	75	90	91	63	32	
		Student 22	67	85	26	79	30	31	
		Student 23	83	76	38	41	11	36	
		Student 24	93	66	71	81	98	74	
		Student 25	27	60	41	98	10	15	
		Student 26	89	96	32	71	54	85	
		Student 27	19	55	36	43	90	18	
		Student 28	49	97	36	36	84	50	
		Student 29	24	91	88	15	68	70	
		Student 30	25	62	87	46	51	51	
		Student 31	85	47	85	63	65	65	
		Student 32	42	37	96	19	41	42	
		Student 33	41	34	30	56	64	76	
		Student 34	67	35	77	57	24	49	
		Student 35	21	89	61	82	12	19	
		Student 36	35	40	61	13	13	77	
		Student 37	62	84	12	92	49	65	
		Student 38	75	86	38	95	29	27	
		Student 39	29	15	10	85	54	69	
		Student 40	98	51	66	16	40	45	
		Student 41	78	47	67	82	24	61	
		Student 42	35	10	54	16	34	33	
		Student 43	70	77	97	89	78	30	
		Student 44	24	72	96	67	61	63	
		Student 45	26	85	37	41	63	44	
		Student 46	81	64	22	71	42	99	
		Student 47	55	60	48	86	81	55	
		Student 48	46	67	54	29	79	53	
		Student 49	32	61	41	65	54	70	
	Semester 3
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	86	60	25	51	60	42	
		Student 1	52	96	35	35	97	55	
		Student 2	10	52	50	69	64	43	
		Student 3	40	61	98	52	98	91	
		Student 4	84	58	68	61	15	61	
		Student 5	88	50	93	95	10	41	
		Student 6	83	56	91	33	68	22	
		Student 7	42	76	17	80	61	83	
		Student 8	32	23	26	37	82	65	
		Student 9	11	74	89	87	38	54	
		Student 10	98	87	38	90	74	32	
		Student 11	11	85	55	21	18	62	
		Student 12	35	18	98	54	32	10	
		Student 13	34	31	25	47	76	44	
		Student 14	50	29	10	13	56	20	
		Student 15	35	25	99	61	60	30	
		Student 16	61	18	74	81	58	60	
		Student 17	79	31	98	55	30	18	
		Student 18	16	21	96	49	42	37	
		Student 19	71	30	95	61	26	34	
		Student 20	31	96	44	75	75	61	
		Student 21	74	82	98	35	35	83	
		Student 22	52	82	82	45	59	10	
		Student 23	56	47	14	29	77	50	
		Student 24	17	35	30	20	92	23	
		Student 25	83	44	73	12	71	87	
		Student 26	56	12	99	34	59	87	
		Student 27	82	16	75	42	72	31	
		Student 28	71	69	74	97	88	21	
		Student 29	40	74	53	89	69	10	
		Student 30	42	13	48	58	19	91	
		Student 31	11	92	89	97	27	97	
		Student 32	70	64	83	80	20	51	
		Student 33	80	53	35	47	33	29	
		Student 34	38	37	93	96	98	20	
		Student 35	56	29	60	54	62	47	
		Student 36	31	88	68	18	10	81	
		Student 37	61	88	12	16	56	15	
		Student 38	12	43	26	11	84	89	
		Student 39	69	22	91	24	81	56	
		Student 40	72	47	85	18	81	61	
		Student 41	68	27	57	54	94	15	
		Student 42	98	21	66	73	22	87	
		Student 43	93	52	50	28	63	80	
		Student 44	35	80	12	55	14	63	
		Student 45	24	69	88	87	54	11	
		Student 46	77	84	14	10	98	22	
		Student 47	13	71	57	89	91	95	
		Student 48	99	65	18	67	33	58	
		Student 49	58	83	29	39	25	93	
	Semester 4
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	66	60	92	74	35	28	
		Student 1	96	77	86	24	31	13	
		Student 2	72	80	99	21	61	68	
		Student 3	41	92	53	73	54	54	
		Student 4	13	79	79	55	27	68	
		Student 5	14	85	74	18	83	32	
		Student 6	52	80	37	69	48	90	
		Student 7	13	32	29	66	75	83	
		Student 8	51	39	13	63	10	36	
		Student 9	91	71	95	67	14	73	
		Student 10	71	38	41	71	91	98	
		Student 11	36	35	86	56	90	79	
		Student 12	69	46	61	18	45	79	
		Student 13	68	53	36	22	80	62	
		Student 14	88	37	37	56	15	58	
		Student 15	23	93	98	21	58	10	
		Student 16	19	78	62	28	38	47	
		Student 17	17	65	78	12	41	22	
		Student 18	15	77	10	83	55	29	
		Student 19	20	46	29	64	66	68	
		Student 20	47	95	68	35	25	11	
		Student 21	27	20	88	70	40	54	
		Student 22	82	82	35	55	66	78	
		Student 23	18	20	31	28	66	55	
		Student 24	88	61	74	84	23	85	
		Student 25	68	64	76	43	45	12	
		Student 26	37	89	72	36	21	87	
		Student 27	10	35	98	75	47	68	
		Student 28	72	92	82	66	41	73	
		Student 29	24	22	91	60	68	14	
		Student 30	48	24	95	14	35	67	
		Student 31	99	43	47	32	81	37	
		Student 32	50	97	50	86	82	68	
		Student 33	93	12	15	26	97	67	
		Student 34	85	71	81	82	90	60	
		Student 35	98	77	52	59	70	46	
		Student 36	51	99	68	33	46	14	
		Student 37	89	24	32	62	53	89	
		Student 38	67	13	11	36	59	28	
		Student 39	72	19	38	86	52	83	
		Student 40	41	99	33	48	26	26	
		Student 41	26	77	15	55	79	68	
		Student 42	74	37	37	76	62	61	
		Student 43	65	78	52	94	61	18	
		Student 44	42	94	41	53	81	12	
		Student 45	50	98	79	40	74	94	
		Student 46	57	32	63	89	28	73	
		Student 47	91	16	73	48	81	75	
		Student 48	22	84	28	68	51	62	
		Student 49	13	10	23	35	72	82	
	Semester 5
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	50	13	39	81	65	37	
		Student 1	23	80	29	16	27	17	
		Student 2	24	16	54	32	34	87	
		Student 3	53	82	57	95	76	88	
		Student 4	59	50	68	13	28	83	
		Student 5	63	90	32	45	18	82	
		Student 6	42	33	89	58	60	87	
		Student 7	38	30	22	50	97	54	
		Student 8	89	75	69	67	72	21	
		Student 9	41	79	99	29	94	25	
		Student 10	62	32	24	75	18	84	
		Student 11	60	65	78	60	10	99	
		Student 12	19	94	93	97	74	99	
		Student 13	33	44	74	44	35	96	
		Student 14	33	51	40	58	45	96	
		Student 15	72	75	68	82	91	63	
		Student 16	77	53	46	18	10	95	
		Student 17	15	75	70	31	22	24	
		Student 18	62	72	98	71	72	96	
		Student 19	58	66	17	64	97	26	
		Student 20	44	43	89	76	10	76	
		Student 21	99	11	89	54	50	62	
		Student 22	59	10	24	84	49	96	
		Student 23	29	56	28	42	26	16	
		Student 24	25	10	51	19	13	93	
		Student 25	16	58	50	95	96	11	
		Student 26	46	71	27	78	32	76	
		Student 27	20	95	26	13	27	53	
		Student 28	34	22	40	36	92	65	
		Student 29	17	19	73	26	19	76	
		Student 30	76	33	46	16	94	62	
		Student 31	33	13	82	62	31	18	
		Student 32	64	64	36	32	43	50	
		Student 33	89	42	28	27	31	73	
		Student 34	65	97	32	92	15	37	
		Student 35	36	91	73	23	63	34	
		Student 36	17	85	37	49	30	49	
		Student 37	36	58	21	52	65	25	
		Student 38	93	72	33	77	93	33	
		Student 39	35	56	41	88	82	99	
		Student 40	35	24	54	14	89	51	
		Student 41	13	80	57	17	98	27	
		Student 42	30	43	46	39	80	35	
		Student 43	17	42	97	10	12	74	
		Student 44	92	63	55	49	56	63	
		Student 45	52	73	51	69	56	94	
		Student 46	29	42	30	51	23	73	
		Student 47	85	64	43	33	42	60	
		Student 48	55	85	37	37	51	24	
		Student 49	67	58	38	42	75	68	
	Semester 6
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	40	92	38	72	79	43	
		Student 1	68	22	91	54	57	11	
		Student 2	65	66	98	38	29	45	
		Student 3	90	60	79	45	78	85	
		Student 4	95	63	64	32	10	63	
		Student 5	86	70	50	90	59	26	
		Student 6	72	56	90	80	52	97	
		Student 7	30	55	93	19	12	61	
		Student 8	74	68	54	11	31	50	
		Student 9	37	27	21	47	13	37	
		Student 10	75	73	84	19	48	64	
		Student 11	22	83	80	69	83	90	
		Student 12	97	56	49	35	73	29	
		Student 13	48	87	74	11	19	97	
		Student 14	38	72	91	81	34	88	
		Student 15	57	62	76	65	35	25	
		Student 16	18	15	25	38	24	49	
		Student 17	73	42	27	63	91	64	
		Student 18	53	19	86	19	61	45	
		Student 19	92	32	22	34	39	55	
		Student 20	83	94	32	14	56	45	
		Student 21	64	78	18	32	56	71	
		Student 22	19	42	81	16	95	18	
		Student 23	84	24	95	89	26	80	
		Student 24	13	90	35	82	18	27	
		Student 25	61	22	19	94	64	40	
		Student 26	13	37	38	38	19	59	
		Student 27	64	42	62	17	40	92	
		Student 28	67	79	64	23	57	32	
		Student 29	88	81	73	99	51	45	
		Student 30	92	12	44	20	85	89	
		Student 31	68	55	36	31	99	70	
		Student 32	11	69	84	15	42	58	
		Student 33	25	55	24	33	24	77	
		Student 34	72	33	42	45	38	84	
		Student 35	11	91	48	89	46	86	
		Student 36	22	70	43	19	49	83	
		Student 37	43	16	17	13	67	15	
		Student 38	54	16	81	65	23	96	
		Student 39	97	58	51	13	42	36	
		Student 40	40	66	31	18	84	39	
		Student 41	28	23	74	33	26	58	
		Student 42	61	91	95	16	24	51	
		Student 43	24	55	14	44	12	30	
		Student 44	64	45	88	65	61	88	
		Student 45	13	41	91	52	12	79	
		Student 46	15	31	93	60	66	36	
		Student 47	21	14	34	75	58	86	
		Student 48	59	33	81	27	93	56	
		Student 49	14	82	48	29	28	55	
	Semester 7
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	17	66	78	26	78	77	
		Student 1	21	68	50	12	40	67	
		Student 2	11	43	43	55	86	74	
		Student 3	80	34	52	14	79	57	
		Student 4	19	68	49	94	38	52	
		Student 5	16	97	78	63	48	95	
		Student 6	46	96	12	31	72	83	
		Student 7	32	41	15	80	69	62	
		Student 8	12	40	77	96	94	14	
		Student 9	87	57	60	71	67	65	
		Student 10	91	20	88	15	49	70	
		Student 11	57	64	85	15	59	69	
		Student 12	44	46	20	74	36	46	
		Student 13	45	27	14	17	88	30	
		Student 14	73	22	17	55	11	23	
		Student 15	79	11	68	62	53	83	
		Student 16	63	47	58	68	53	38	
		Student 17	54	41	85	32	38	30	
		Student 18	15	20	14	40	23	40	
		Student 19	87	69	25	40	38	91	
		Student 20	82	63	25	17	13	91	
		Student 21	60	12	10	72	42	84	
		Student 22	55	12	63	23	49	28	
		Student 23	60	58	35	15	38	48	
		Student 24	18	33	65	45	97	50	
		Student 25	80	97	78	36	51	16	
		Student 26	78	59	60	26	49	37	
		Student 27	62	90	71	14	28	16	
		Student 28	15	87	83	52	74	71	
		Student 29	58	11	13	10	46	87	
		Student 30	41	19	13	76	76	85	
		Student 31	96	48	29	39	80	72	
		Student 32	16	90	27	64	43	80	
		Student 33	96	12	32	56	79	67	
		Student 34	76	69	18	12	73	62	
		Student 35	88	34	98	48	71	27	
		Student 36	21	39	44	51	17	20	
		Student 37	59	96	49	75	88	56	
		Student 38	39	14	43	43	34	73	
		Student 39	74	32	60	49	74	92	
		Student 40	29	23	42	42	13	47	
		Student 41	83	38	89	64	28	13	
		Student 42	94	25	98	38	85	18	
		Student 43	70	26	35	53	82	87	
		Student 44	63	36	94	95	63	19	
		Student 45	98	96	21	86	73	32	
		Student 46	63	89	48	21	52	34	
		Student 47	61	94	98	51	25	78	
		Student 48	27	89	23	60	23	67	
		Student 49	54	99	58	60	16	97	
Program 1
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	73	32	94	45	70	46	
		Student 1	86	18	74	86	72	72	
		Student 2	95	50	83	55	42	98	
		Student 3	20	64	36	43	47	67	
		Student 4	93	72	78	29	60	60	
		Student 5	24	60	23	90	89	18	
		Student 6	78	40	93	86	72	17	
		Student 7	50	96	84	27	74	10	
		Student 8	92	27	84	99	12	20	
		Student 9	29	66	72	99	76	97	
		Student 10	57	14	16	15	86	20	
		Student 11	57	63	58	54	64	15	
		Student 12	99	45	94	74	33	56	
		Student 13	14	46	90	44	89	76	
		Student 14	95	25	48	25	42	19	
		Student 15	64	70	21	60	90	43	
		Student 16	89	30	53	37	65	46	
		Student 17	96	44	23	22	77	58	
		Student 18	57	49	34	24	43	55	
		Student 19	21	34	29	47	10	11	
		Student 20	28	22	59	14	79	67	
		Student 21	15	79	34	88	90	52	
		Student 22	59	27	13	36	33	77	
		Student 23	98	47	31	26	84	51	
		Student 24	21	77	91	15	21	86	
		Student 25	66	22	82	85	83	84	
		Student 26	98	74	74	98	79	92	
		Student 27	43	21	97	20	94	47	
		Student 28	93	79	36	29	29	49	
		Student 29	84	15	30	16	14	31	
		Student 30	25	58	17	73	65	68	
		Student 31	33	77	93	36	46	97	
		Student 32	37	89	42	38	31	65	
		Student 33	65	66	86	69	62	39	
		Student 34	36	24	63	29	36	27	
		Student 35	53	16	13	38	67	96	
		Student 36	82	54	24	64	23	21	
		Student 37	65	64	67	57	97	56	
		Student 38	56	41	54	41	70	46	
		Student 39	21	44	58	17	79	45	
		Student 40	56	18	61	23	94	74	
		Student 41	76	74	20	25	67	15	
		Student 42	43	89	34	94	50	14	
		Student 43	22	60	27	70	21	23	
		Student 44	24	82	87	28	68	65	
		Student 45	28	82	20	42	81	29	
		Student 46	52	14	16	86	98	96	
		Student 47	81	36	89	14	46	23	
		Student 48	97	79	20	80	95	96	
		Student 49	33	57	85	69	24	59	
	Semester 1
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	69	80	73	39	29	32	
		Student 1	91	80	86	36	52	56	
		Student 2	94	46	11	75	44	28	
		Student 3	42	88	76	37	24	23	
		Student 4	27	96	95	70	69	55	
		Student 5	48	69	42	30	34	99	
		Student 6	14	12	40	41	66	25	
		Student 7	61	54	29	69	26	42	
		Student 8	35	28	32	51	48	17	
		Student 9	68	18	99	45	77	20	
		Student 10	21	34	20	36	42	49	
		Student 11	97	22	65	81	18	58	
		Student 12	34	35	15	96	62	97	
		Student 13	15	78	43	23	31	82	
		Student 14	88	48	94	83	60	22	
		Student 15	58	95	52	91	25	18	
		Student 16	99	15	45	59	43	56	
		Student 17	74	35	70	35	58	39	
		Student 18	54	52	96	69	15	73	
		Student 19	70	96	69	37	50	71	
		Student 20	96	27	98	66	41	94	
		Student 21	94	45	89	38	83	63	
		Student 22	33	42	94	77	15	60	
		Student 23	89	77	59	45	77	35	
		Student 24	99	64	72	23	67	70	
		Student 25	39	36	64	64	69	31	
		Student 26	36	99	43	45	17	76	
		Student 27	83	75	26	48	27	20	
		Student 28	34	49	46	25	80	63	
		Student 29	55	67	21	51	86	40	
		Student 30	75	58	21	15	96	11	
		Student 31	31	39	20	14	12	48	
		Student 32	80	47	84	15	55	10	
		Student 33	59	55	73	32	80	41	
		Student 34	81	84	89	94	31	82	
		Student 35	54	96	92	82	77	18	
		Student 36	77	85	43	96	49	96	
		Student 37	11	94	63	45	88	53	
		Student 38	80	55	36	20	37	63	
		Student 39	98	39	76	36	84	65	
		Student 40	38	43	99	10	37	23	
		Student 41	66	50	34	13	68	96	
		Student 42	44	60	14	92	42	52	
		Student 43	98	79	53	13	79	21	
		Student 44	80	40	90	83	45	38	
		Student 45	26	75	65	45	23	14	
		Student 46	66	13	73	28	46	46	
		Student 47	39	41	40	27	95	46	
		Student 48	89	93	38	31	53	96	
		Student 49	14	22	55	97	78	42	
	Semester 2
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	83	97	16	18	72	52	
		Student 1	59	47	81	80	91	35	
		Student 2	26	88	42	44	67	92	
		Student 3	26	80	53	11	70	46	
		Student 4	41	24	93	30	79	75	
		Student 5	10	83	90	64	27	20	
		Student 6	59	51	96	41	12	39	
		Student 7	64	73	51	46	29	84	
		Student 8	92	98	76	49	90	63	
		Student 9	59	41	71	52	22	27	
		Student 10	89	18	51	41	56	63	
		Student 11	85	85	89	28	67	97	
		Student 12	80	47	39	93	80	72	
		Student 13	62	88	97	74	62	10	
		Student 14	42	70	88	65	21	47	
		Student 15	57	77	55	34	62	23	
		Student 16	58	32	83	12	12	91	
		Student 17	12	74	41	47	45	55	
		Student 18	55	59	62	40	90	41	
		Student 19	56	32	82	15	59	39	
		Student 20	39	14	58	86	15	14	
		Student 21	56	42	51	60	34	30	
		Student 22	69	79	74	64	13	67	
		Student 23	43	38	96	63	41	80	
		Student 24	16	95	41	90	75	93	
		Student 25	22	87	36	94	80	34	
		Student 26	70	73	28	20	23	20	
		Student 27	51	15	25	14	16	77	
		Student 28	54	78	10	23	63	96	
		Student 29	78	79	93	86	89	78	
		Student 30	99	22	41	41	61	37	
		Student 31	58	67	86	50	22	89	
		Student 32	84	12	20	68	31	73	
		Student 33	21	77	48	99	29	57	
		Student 34	10	48	53	56	98	31	
		Student 35	31	27	73	41	88	41	
		Student 36	87	58	81	81	55	80	
		Student 37	25	25	83	40	78	49	
		Student 38	29	85	93	30	59	85	
		Student 39	36	16	15	43	39	95	
		Student 40	50	38	39	56	54	34	
		Student 41	52	88	74	33	34	14	
		Student 42	38	24	72	22	65	27	
		Student 43	32	43	84	91	27	90	
		Student 44	37	87	41	62	73	95	
		Student 45	71	45	21	91	76	35	
		Student 46	76	46	92	69	32	77	
		Student 47	65	82	93	27	14	85	
		Student 48	57	66	41	99	79	25	
		Student 49	18	52	36	23	58	35	
	Semester 3
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	53	71	68	53	24	72	
		Student 1	27	43	50	47	94	80	
		Student 2	13	17	19	33	45	24	
		Student 3	83	32	88	50	74	45	
		Student 4	64	80	80	62	36	71	
		Student 5	42	98	69	83	67	37	
		Student 6	88	21	54	40	14	50	
		Student 7	85	36	64	68	48	37	
		Student 8	45	28	21	26	42	21	
		Student 9	68	51	55	32	52	21	
		Student 10	43	42	93	25	42	75	
		Student 11	27	36	28	56	25	41	
		Student 12	56	51	92	91	98	73	
		Student 13	66	82	55	69	98	25	
		Student 14	85	61	43	65	75	91	
		Student 15	86	87	29	31	84	64	
		Student 16	25	52	95	38	20	19	
		Student 17	95	33	36	12	85	29	
		Student 18	58	64	40	59	98	41	
		Student 19	26	45	89	82	58	87	
		Student 20	77	73	91	78	35	30	
		Student 21	94	25	30	75	84	20	
		Student 22	49	38	77	12	95	49	
		Student 23	68	93	17	13	68	49	
		Student 24	56	12	51	76	48	24	
		Student 25	29	73	38	13	20	44	
		Student 26	43	35	63	59	35	48	
		Student 27	32	41	78	26	50	64	
		Student 28	10	30	79	43	49	14	
		Student 29	77	60	85	48	14	85	
		Student 30	96	26	28	74	53	83	
		Student 31	24	30	64	94	76	15	
		Student 32	26	33	40	61	60	29	
		Student 33	88	58	19	54	20	94	
		Student 34	91	67	95	59	45	13	
		Student 35	58	41	43	69	12	27	
		Student 36	95	82	77	20	44	82	
		Student 37	14	38	42	62	49	60	
		Student 38	61	11	18	45	70	46	
		Student 39	26	97	90	37	46	19	
		Student 40	21	70	32	28	81	71	
		Student 41	54	82	20	56	89	65	
		Student 42	56	20	28	64	49	66	
		Student 43	42	56	86	15	82	98	
		Student 44	19	33	54	31	36	34	
		Student 45	95	45	77	49	49	64	
		Student 46	15	97	83	41	77	22	
		Student 47	86	66	55	24	34	22	
		Student 48	72	70	39	51	18	22	
		Student 49	14	51	18	19	68	56	
	Semester 4
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	57	67	54	77	31	76	
		Student 1	45	45	49	72	65	79	
		Student 2	13	39	19	96	24	61	
		Student 3	94	23	35	95	45	18	
		Student 4	88	13	97	65	29	86	
		Student 5	94	39	78	50	23	94	
		Student 6	71	34	83	26	13	84	
		Student 7	93	45	33	38	76	44	
		Student 8	74	10	68	74	21	41	
		Student 9	14	42	16	84	67	86	
		Student 10	20	39	18	24	65	93	
		Student 11	42	13	40	31	47	35	
		Student 12	60	11	19	13	42	40	
		Student 13	41	24	27	58	31	85	
		Student 14	89	45	49	60	16	80	
		Student 15	30	25	40	73	59	23	
		Student 16	13	12	64	18	77	28	
		Student 17	44	80	27	67	77	77	
		Student 18	80	17	43	84	39	66	
		Student 19	61	99	98	23	37	72	
		Student 20	28	25	82	99	13	22	
		Student 21	94	34	94	40	68	78	
		Student 22	84	43	85	14	28	44	
		Student 23	79	56	33	53	74	80	
		Student 24	65	95	90	90	43	27	
		Student 25	90	86	86	19	60	98	
		Student 26	63	65	26	33	19	33	
		Student 27	55	84	35	53	64	68	
		Student 28	69	51	13	18	11	49	
		Student 29	50	71	51	69	98	32	
		Student 30	48	82	28	67	67	12	
		Student 31	90	45	10	54	26	60	
		Student 32	71	65	93	60	54	26	
		Student 33	45	98	27	10	67	28	
		Student 34	52	30	92	90	62	37	
		Student 35	86	44	68	83	63	49	
		Student 36	88	50	90	90	40	80	
		Student 37	49	68	41	54	37	63	
		Student 38	91	79	76	88	76	40	
		Student 39	70	82	94	42	29	49	
		Student 40	41	20	46	94	72	85	
		Student 41	21	94	80	17	20	24	
		Student 42	58	41	33	32	71	45	
		Student 43	14	66	49	45	33	52	
		Student 44	88	48	71	34	49	32	
		Student 45	55	54	44	15	18	73	
		Student 46	67	93	76	38	98	99	
		Student 47	79	91	20	39	16	81	
		Student 48	85	98	18	56	79	70	
		Student 49	66	62	37	87	39	91	
	Semester 5
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	50	61	59	83	99	28	
		Student 1	69	45	13	52	97	65	
		Student 2	62	15	92	63	93	75	
		Student 3	42	74	43	63	98	26	
		Student 4	88	55	65	25	90	53	
		Student 5	62	88	50	23	87	59	
		Student 6	47	49	26	78	49	40	
		Student 7	41	16	33	80	67	42	
		Student 8	66	50	77	55	44	42	
		Student 9	36	68	53	26	54	43	
		Student 10	57	44	24	62	70	85	
		Student 11	66	72	33	39	32	48	
		Student 12	48	76	81	58	80	75	
		Student 13	99	71	84	36	25	82	
		Student 14	72	31	40	16	48	60	
		Student 15	42	75	54	27	75	55	
		Student 16	75	96	47	71	12	27	
		Student 17	80	72	98	55	15	36	
		Student 18	50	66	39	59	73	25	
		Student 19	29	29	83	89	57	46	
		Student 20	55	53	64	29	82	30	
		Student 21	19	71	11	83	70	64	
		Student 22	77	98	33	54	58	23	
		Student 23	79	98	88	99	30	27	
		Student 24	93	30	93	25	32	44	
		Student 25	82	92	81	32	45	21	
		Student 26	25	58	41	99	21	90	
		Student 27	77	20	57	70	88	33	
		Student 28	27	35	85	67	18	16	
		Student 29	18	96	44	27	95	57	
		Student 30	92	34	86	30	59	30	
		Student 31	88	39	17	19	22	77	
		Student 32	53	71	26	77	14	44	
		Student 33	84	30	21	32	99	35	
		Student 34	80	79	13	65	40	29	
		Student 35	92	41	94	54	57	83	
		Student 36	83	70	75	47	15	45	
		Student 37	44	19	76	80	73	48	
		Student 38	67	73	44	19	14	95	
		Student 39	70	70	55	89	24	61	
		Student 40	94	27	36	74	92	40	
		Student 41	70	28	43	43	14	63	
		Student 42	70	28	93	17	79	45	
		Student 43	34	19	83	23	74	12	
		Student 44	61	86	51	79	17	22	
		Student 45	67	68	85	62	94	29	
		Student 46	27	36	48	76	90	70	
		Student 47	44	37	91	44	54	39	
		Student 48	88	62	18	74	53	92	
		Student 49	19	30	98	11	99	74	
	Semester 6
