Program 0
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 17	59	80	49	61	36	88	
		Student 18	83	83	62	21	12	66	
		Student 19	74	42	86	13	18	41	
		Student 20	44	28	13	52	21	37	
		Student 21	18	85	96	33	80	90	
		Student 22	51	14	99	65	85	34	
		Student 23	97	78	53	68	37	99	
		Student 24	14	27	21	88	94	45	
		Student 25	53	60	13	76	26	57	
		Student 26	15	92	79	11	91	96	
		Student 27	41	79	86	71	72	37	
		Student 28	40	10	20	44	43	68	
		Student 29	66	30	63	85	90	76	
		Student 30	59	49	61	83	82	13	
		Student 31	28	19	93	46	38	38	
		Student 32	36	98	64	52	54	94	
		Student 33	78	67	57	21	34	75	
		Student 34	90	32	68	37	76	66	
		Student 35	65	91	20	90	73	87	
		Student 36	34	63	90	69	61	67	
		Student 37	91	90	83	61	58	46	
		Student 38	47	35	22	97	82	16	
		Student 39	11	24	37	84	89	48	
		Student 40	55	57	97	84	28	27	
		Student 41	26	18	24	71	43	48	
		Student 42	87	50	76	78	56	58	
		Student 43	38	69	82	12	52	91	
		Student 44	86	10	80	90	40	37	
		Student 45	80	44	35	84	48	90	
		Student 46	60	74	32	41	94	88	
		Student 47	30	89	68	31	21	48	
		Student 48	67	58	15	31	42	19	
		Student 49	71	73	11	28	14	63	
	Semester 4
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	64	39	93	54	44	73	
		Student 1	79	76	19	84	20	50	
		Student 2	47	11	83	54	48	71	
		Student 3	93	86	48	76	19	66	
		Student 4	78	64	62	97	98	93	
		Student 5	15	50	97	19	26	77	
		Student 6	13	98	48	17	78	30	
		Student 7	18	51	45	77	38	22	
		Student 8	94	89	38	78	77	59	
		Student 9	15	24	83	82	91	19	
		Student 10	29	29	84	64	90	46	
		Student 11	11	27	97	56	79	21	
		Student 12	57	87	43	74	13	92	
		Student 13	57	23	23	20	59	94	
		Student 14	76	39	61	71	87	88	
		Student 15	89	26	26	62	98	71	
		Student 16	11	77	90	71	93	90	
		Student 17	62	50	73	26	25	94	
		Student 18	81	42	52	36	62	91	
		Student 19	33	36	20	88	65	17	
		Student 20	89	99	97	50	50	48	
		Student 21	21	62	30	68	81	73	
		Student 22	55	54	16	12	21	90	
		Student 23	48	75	89	16	91	44	
		Student 24	48	68	29	90	36	61	
		Student 25	41	29	91	16	66	52	
		Student 26	75	95	60	20	75	93	
		Student 27	70	58	67	55	14	48	
		Student 28	14	59	22	79	12	37	
		Student 29	64	62	43	94	83	53	
		Student 30	90	24	47	46	14	76	
		Student 31	69	79	47	55	21	42	
		Student 32	66	79	34	52	85	92	
		Student 33	90	35	65	85	20	77	
		Student 34	66	62	64	19	90	44	
		Student 35	39	34	76	63	63	98	
		Student 36	79	90	32	20	80	91	
		Student 37	38	11	62	16	28	26	
		Student 38	29	62	86	11	43	72	
		Student 39	15	61	30	47	27	79	
		Student 40	11	29	90	28	34	32	
		Student 41	80	63	28	59	51	38	
		Student 42	46	26	20	79	77	92	
		Student 43	10	21	27	62	95	35	
		Student 44	76	32	23	89	23	22	
		Student 45	16	94	85	85	84	22	
		Student 46	69	42	85	28	35	39	
		Student 47	57	38	18	54	57	80	
		Student 48	50	36	32	77	11	88	
		Student 49	80	82	89	11	16	94	
	Semester 5
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	84	56	29	11	59	90	
		Student 1	46	77	89	47	44	93	
		Student 2	77	45	43	69	99	34	
		Student 3	80	15	48	67	75	40	
		Student 4	10	88	54	54	19	60	
		Student 5	61	27	97	67	20	31	
		Student 6	84	26	19	54	52	44	
		Student 7	24	72	45	71	43	41	
		Student 8	56	85	39	69	63	46	
		Student 9	42	56	16	80	55	91	
		Student 10	23	76	96	21	21	88	
		Student 11	91	21	93	59	32	39	
		Student 12	91	13	16	54	14	38	
		Student 13	86	18	22	36	57	86	
		Student 14	60	53	41	28	46	28	
		Student 15	52	25	14	57	50	73	
		Student 16	53	83	17	37	50	50	
		Student 17	23	66	43	83	88	86	
		Student 18	89	27	80	64	53	14	
		Student 19	64	55	28	38	67	78	
		Student 20	74	21	63	21	37	88	
		Student 21	49	79	27	17	14	66	
		Student 22	80	42	28	65	59	11	
		Student 23	66	21	12	94	62	92	
		Student 24	54	44	14	38	95	57	
		Student 25	82	38	89	11	78	28	
		Student 26	26	49	52	18	65	56	
		Student 27	19	64	58	38	55	91	
		Student 28	86	74	71	95	77	10	
		Student 29	87	39	71	15	49	93	
		Student 30	66	87	69	73	79	32	
		Student 31	43	45	49	49	31	66	
		Student 32	69	24	79	35	92	66	
		Student 33	50	10	18	56	28	46	
		Student 34	61	45	40	94	13	83	
		Student 35	61	40	93	42	33	71	
		Student 36	26	96	46	71	16	83	
		Student 37	28	92	80	40	67	63	
		Student 38	19	87	52	87	30	37	
		Student 39	92	17	93	54	23	10	
		Student 40	93	18	49	33	49	84	
		Student 41	49	16	67	34	50	55	
		Student 42	79	67	86	92	24	86	
		Student 43	40	19	87	34	23	26	
		Student 44	92	11	69	39	56	11	
		Student 45	25	95	47	92	28	61	
		Student 46	66	86	37	97	36	36	
		Student 47	49	20	72	51	57	44	
		Student 48	27	67	98	21	61	77	
		Student 49	43	96	54	61	53	27	
	Semester 6
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	46	76	59	86	25	74	
		Student 1	91	57	81	85	19	18	
		Student 2	76	21	18	94	72	56	
		Student 3	94	30	62	37	74	30	
		Student 4	73	74	96	53	72	76	
		Student 5	37	47	94	33	19	71	
		Student 6	71	26	39	56	41	26	
		Student 7	54	81	67	46	84	43	
		Student 8	81	53	35	13	99	72	
		Student 9	28	74	31	74	52	54	
		Student 10	59	60	52	84	63	79	
		Student 11	84	43	29	39	96	48	
		Student 12	80	39	98	14	35	36	
		Student 13	51	27	37	36	88	55	
		Student 14	55	92	63	35	21	43	
		Student 15	73	30	91	90	92	30	
		Student 16	69	24	35	98	97	42	
		Student 17	54	33	96	24	39	29	
		Student 18	38	54	16	96	70	21	
		Student 19	89	37	73	30	26	94	
		Student 20	80	97	29	49	14	80	
		Student 21	20	23	56	67	48	86	
		Student 22	27	36	10	39	50	43	
		Student 23	92	39	25	38	66	11	
		Student 24	43	26	22	82	36	60	
		Student 25	52	36	17	17	31	42	
		Student 26	65	51	78	82	15	42	
		Student 27	10	70	24	18	34	49	
		Student 28	73	80	34	45	30	70	
		Student 29	73	45	41	91	35	60	
		Student 30	61	31	43	85	65	81	
		Student 31	17	10	97	59	28	88	
		Student 32	87	84	13	89	75	24	
		Student 33	67	17	75	26	39	30	
		Student 34	59	41	16	16	50	61	
		Student 35	45	79	20	24	10	33	
		Student 36	62	41	58	85	95	16	
		Student 37	87	14	60	49	94	80	
		Student 38	98	76	19	30	25	26	
		Student 39	64	11	41	49	27	14	
		Student 40	34	72	71	53	70	35	
		Student 41	37	36	65	48	16	85	
		Student 42	94	65	70	86	33	83	
		Student 43	29	12	46	29	66	30	
		Student 44	71	19	93	18	86	99	
		Student 45	69	89	57	67	92	84	
		Student 46	13	38	20	11	98	97	
		Student 47	52	12	13	75	86	37	
		Student 48	91	14	78	71	27	82	
		Student 49	46	46	23	44	25	82	
	Semester 7
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	19	13	59	31	60	84	
		Student 1	60	82	40	57	28	78	
		Student 2	58	51	78	98	22	22	
		Student 3	15	22	40	80	83	99	
		Student 4	79	81	86	73	12	19	
		Student 5	35	74	64	79	47	97	
		Student 6	32	88	23	89	55	76	
		Student 7	12	74	77	66	89	42	
		Student 8	41	98	48	35	64	30	
		Student 9	76	76	54	54	92	93	
		Student 10	67	63	40	94	67	89	
		Student 11	60	71	50	82	36	58	
		Student 12	47	20	56	17	84	33	
		Student 13	38	24	13	37	28	33	
		Student 14	18	24	42	22	92	45	
		Student 15	41	23	80	53	96	52	
		Student 16	88	51	19	19	67	80	
		Student 17	88	40	83	92	46	95	
		Student 18	25	68	23	84	61	87	
		Student 19	72	17	57	46	55	24	
		Student 20	36	58	12	24	59	67	
		Student 21	46	64	29	68	60	30	
		Student 22	14	75	24	88	98	16	
		Student 23	95	56	72	49	77	10	
		Student 24	26	60	46	34	28	76	
		Student 25	65	35	69	13	87	92	
		Student 26	75	87	80	55	28	60	
		Student 27	74	24	64	57	39	90	
		Student 28	39	98	46	68	47	37	
		Student 29	11	21	28	40	67	40	
		Student 30	84	21	95	66	88	89	
		Student 31	61	45	54	69	27	91	
		Student 32	23	88	79	19	77	72	
		Student 33	31	45	85	12	21	81	
		Student 34	26	70	81	21	32	70	
		Student 35	93	83	69	76	28	35	
		Student 36	21	58	41	34	45	26	
		Student 37	63	78	36	75	21	22	
		Student 38	36	67	37	14	69	17	
		Student 39	37	66	56	47	88	68	
		Student 40	82	50	31	57	63	86	
		Student 41	81	47	98	11	21	63	
		Student 42	37	64	96	28	99	28	
		Student 43	67	72	13	42	60	33	
		Student 44	97	58	68	22	61	15	
		Student 45	95	26	81	54	61	80	
		Student 46	37	92	75	93	26	84	
		Student 47	62	35	45	88	89	65	
		Student 48	97	27	83	37	91	82	
		Student 49	13	47	51	98	30	44	
Program 1
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	32	42	32	96	16	38	
		Student 1	62	62	61	10	69	25	
		Student 2	95	83	78	14	14	21	
		Student 3	16	14	27	29	77	40	
		Student 4	58	53	18	12	22	93	
		Student 5	13	47	20	80	50	28	
		Student 6	83	48	79	36	95	48	
		Student 7	24	91	97	70	47	27	
		Student 8	46	89	55	84	61	15	
		Student 9	71	15	99	93	35	75	
		Student 10	59	40	73	74	62	40	
		Student 11	41	17	90	47	74	94	
		Student 12	53	39	58	89	43	73	
		Student 13	28	67	85	15	58	92	
		Student 14	36	30	73	27	82	46	
		Student 15	81	23	71	88	81	72	
		Student 16	57	62	25	35	72	89	
		Student 17	70	31	14	72	69	38	
		Student 18	26	29	95	87	15	19	
		Student 19	38	92	61	37	82	82	
		Student 20	83	69	12	43	71	12	
		Student 21	88	49	70	61	65	58	
		Student 22	94	46	66	99	60	97	
		Student 23	58	99	46	84	40	91	
		Student 24	84	75	20	50	82	21	
		Student 25	35	38	91	29	67	35	
		Student 26	93	53	23	49	28	48	
		Student 27	51	37	38	12	45	20	
		Student 28	10	94	79	48	27	89	
		Student 29	45	38	44	74	95	51	
		Student 30	66	71	71	19	59	22	
		Student 31	66	86	25	45	98	31	
		Student 32	65	49	45	12	83	73	
		Student 33	87	86	31	97	52	56	
		Student 34	59	44	38	81	13	98	
		Student 35	50	95	85	36	55	83	
		Student 36	92	18	29	77	25	21	
		Student 37	57	29	86	68	41	55	
		Student 38	67	78	71	84	11	91	
		Student 39	12	44	27	73	37	15	
		Student 40	54	35	47	86	33	81	
		Student 41	49	57	72	15	32	10	
		Student 42	14	80	34	49	63	70	
		Student 43	68	80	96	41	37	80	
		Student 44	91	60	82	29	25	81	
		Student 45	42	86	29	70	12	59	
		Student 46	18	94	41	81	14	72	
		Student 47	78	35	18	19	19	43	
		Student 48	34	32	45	25	87	68	
		Student 49	35	73	98	58	14	11	
	Semester 1
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	91	86	10	65	48	62	
		Student 1	82	72	19	82	74	39	
		Student 2	48	92	46	70	59	79	
		Student 3	69	40	64	36	66	58	
		Student 4	19	62	21	56	99	88	
		Student 5	78	62	98	14	93	79	
		Student 6	83	68	72	82	66	93	
		Student 7	36	89	27	36	10	93	
		Student 8	81	52	45	70	18	93	
		Student 9	78	36	65	46	13	17	
		Student 10	39	60	87	10	93	88	
		Student 11	96	74	74	46	71	89	
		Student 12	64	85	76	90	64	42	
		Student 13	63	23	83	55	61	81	
		Student 14	89	39	36	72	32	60	
		Student 15	87	21	45	89	98	92	
		Student 16	73	96	81	52	67	52	
		Student 17	59	65	33	53	20	31	
		Student 18	26	47	84	56	61	50	
		Student 19	78	89	30	79	32	43	
		Student 20	44	90	79	79	84	58	
		Student 21	82	93	43	29	55	59	
		Student 22	16	57	75	84	85	30	
		Student 23	65	33	53	45	58	19	
		Student 24	32	23	12	91	40	80	
		Student 25	26	91	61	45	65	97	
		Student 26	55	69	94	94	49	45	
		Student 27	74	59	84	95	48	31	
		Student 28	24	14	68	91	16	59	
		Student 29	46	16	23	18	78	31	
		Student 30	19	26	35	37	36	48	
		Student 31	63	48	33	36	18	83	
		Student 32	17	25	72	13	79	34	
		Student 33	95	13	75	37	61	51	
		Student 34	32	82	33	30	16	33	
		Student 35	37	74	63	64	86	30	
		Student 36	22	11	58	51	77	24	
		Student 37	43	48	84	97	57	58	
		Student 38	29	16	26	81	46	41	
		Student 39	12	89	66	27	59	23	
		Student 40	74	97	56	21	58	23	
		Student 41	59	39	49	17	21	56	
		Student 42	73	70	12	82	41	97	
		Student 43	65	73	37	29	66	21	
		Student 44	47	56	40	77	84	16	
		Student 45	94	30	76	42	16	15	
		Student 46	41	61	68	41	40	95	
		Student 47	90	84	69	50	21	77	
		Student 48	29	97	64	39	71	35	
		Student 49	83	38	57	44	69	48	
	Semester 2
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	68	89	87	13	30	40	
		Student 1	74	21	60	60	10	80	
		Student 2	45	66	61	72	71	82	
		Student 3	57	32	12	46	65	77	
		Student 4	21	81	92	87	91	81	
		Student 5	95	47	95	43	89	93	
		Student 6	34	43	68	92	36	84	
		Student 7	92	86	29	66	40	90	
		Student 8	53	91	79	76	89	86	
		Student 9	53	53	18	77	52	45	
		Student 10	18	26	45	53	58	39	
		Student 11	82	76	15	77	83	48	
		Student 12	10	75	94	12	58	33	
		Student 13	80	48	16	85	84	14	
		Student 14	35	22	35	80	30	25	
		Student 15	92	52	79	86	59	14	
		Student 16	25	51	18	92	17	85	
		Student 17	24	13	91	16	14	32	
		Student 18	45	50	36	42	96	70	
		Student 19	33	80	22	88	17	97	
		Student 20	10	65	85	40	83	62	
		Student 21	59	81	96	52	42	83	
		Student 22	95	51	45	54	54	98	
		Student 23	84	16	31	23	95	88	
		Student 24	38	45	83	74	66	30	
		Student 25	71	15	23	21	64	46	
		Student 26	12	97	61	69	82	59	
		Student 27	79	21	56	34	51	36	
		Student 28	32	59	43	52	46	59	
		Student 29	57	18	67	62	52	55	
		Student 30	71	55	31	54	58	43	
		Student 31	25	66	19	84	42	15	
		Student 32	53	66	98	41	10	71	
		Student 33	48	80	21	39	86	71	
		Student 34	32	42	45	35	94	95	
		Student 35	81	22	77	88	88	27	
		Student 36	98	47	17	74	29	91	
		Student 37	42	99	41	27	98	89	
		Student 38	71	10	79	22	19	80	
		Student 39	22	13	67	92	61	37	
		Student 40	30	52	17	87	12	57	
		Student 41	94	95	14	75	60	55	
		Student 42	28	52	47	72	43	38	
		Student 43	29	73	27	90	14	35	
		Student 44	85	30	20	76	18	13	
		Student 45	39	43	14	18	37	90	
		Student 46	47	13	15	10	43	97	
		Student 47	63	71	37	17	24	53	
		Student 48	46	55	76	50	20	28	
		Student 49	41	73	97	76	49	54	
	Semester 3
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	13	79	10	82	55	53	
		Student 1	79	52	97	41	94	20	
		Student 2	69	52	41	88	48	81	
		Student 3	69	53	54	16	15	35	
		Student 4	45	58	77	21	56	84	
		Student 5	97	26	28	63	66	76	
		Student 6	77	67	88	82	18	21	
		Student 7	49	71	34	17	11	43	
		Student 8	75	60	30	69	97	48	
		Student 9	83	31	70	66	39	41	
		Student 10	54	48	70	56	27	26	
		Student 11	55	15	97	35	49	37	
		Student 12	19	37	30	84	99	36	
		Student 13	90	98	87	48	22	21	
		Student 14	80	30	85	83	34	65	
		Student 15	11	45	86	94	80	35	
		Student 16	62	25	34	28	84	34	
		Student 17	82	16	50	58	69	49	
		Student 18	49	64	99	23	54	59	
		Student 19	36	89	26	31	79	94	
		Student 20	54	85	91	91	91	42	
		Student 21	22	58	51	25	74	77	
		Student 22	18	27	42	38	35	17	
		Student 23	63	95	91	16	99	25	
		Student 24	17	30	92	26	99	71	
		Student 25	32	19	40	92	40	58	
		Student 26	94	84	40	91	77	28	
		Student 27	88	29	91	22	74	52	
		Student 28	13	38	24	34	19	45	
		Student 29	95	45	48	73	18	24	
		Student 30	54	15	63	83	77	71	
		Student 31	85	18	17	31	82	89	
		Student 32	39	59	88	95	51	92	
		Student 33	92	66	41	96	12	91	
		Student 34	25	63	37	93	65	53	
		Student 35	99	19	50	28	96	94	
		Student 36	24	34	72	31	41	34	
		Student 37	95	95	33	52	42	88	
		Student 38	32	10	22	33	90	56	
		Student 39	17	15	71	50	97	43	
		Student 40	92	63	15	72	92	50	
		Student 41	97	33	60	45	65	20	
		Student 42	88	11	65	40	88	11	
		Student 43	49	98	53	26	61	70	
		Student 44	89	78	57	80	70	86	
		Student 45	65	76	44	74	44	46	
		Student 46	95	73	59	99	24	95	
		Student 47	57	90	46	52	86	41	
		Student 48	16	28	83	23	94	41	
		Student 49	80	89	89	77	57	16	
	Semester 4
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	27	79	76	79	39	48	
		Student 1	10	55	66	93	53	40	
		Student 2	86	98	24	19	92	89	
		Student 3	25	80	41	36	82	52	
		Student 4	30	11	49	48	35	80	
		Student 5	55	76	42	79	88	95	
		Student 6	62	84	11	15	85	85	
		Student 7	92	24	25	37	54	93	
		Student 8	87	58	30	61	94	41	
		Student 9	85	20	91	17	78	93	
		Student 10	24	66	20	45	87	10	
		Student 11	34	49	15	81	58	19	
		Student 12	86	53	64	47	76	46	
		Student 13	31	13	11	83	54	93	
		Student 14	74	22	68	24	79	73	
		Student 15	68	88	67	39	33	26	
		Student 16	62	16	15	73	43	20	
		Student 17	86	47	42	57	53	62	
		Student 18	79	58	52	82	36	51	
		Student 19	17	99	13	82	71	74	
		Student 20	21	30	88	64	53	35	
		Student 21	63	23	40	29	40	70	
		Student 22	92	59	96	47	29	23	
		Student 23	74	37	86	42	65	39	
		Student 24	98	98	76	18	58	76	
		Student 25	90	41	57	72	83	26	
		Student 26	92	17	25	91	48	74	
		Student 27	53	39	61	64	38	67	
		Student 28	44	18	27	74	73	74	
		Student 29	48	33	56	44	15	83	
		Student 30	47	25	71	33	81	16	
		Student 31	38	47	46	26	43	94	
		Student 32	85	12	45	63	91	83	
		Student 33	77	77	36	57	53	55	
		Student 34	49	59	15	46	91	77	
		Student 35	75	91	34	78	80	76	
		Student 36	18	51	47	87	68	28	
		Student 37	63	73	23	19	85	63	
		Student 38	97	87	40	98	68	40	
		Student 39	68	93	39	50	19	96	
		Student 40	27	17	62	61	98	43	
		Student 41	45	78	69	48	80	95	
		Student 42	56	42	58	80	41	80	
		Student 43	42	18	32	17	16	61	
		Student 44	11	68	70	99	40	22	
		Student 45	65	29	62	27	78	14	
		Student 46	23	87	82	61	92	71	
		Student 47	18	19	16	48	21	58	
		Student 48	40	41	20	66	88	45	
		Student 49	66	95	66	24	36	76	
	Semester 5
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	46	13	87	33	69	68	
		Student 1	69	70	24	13	48	44	
		Student 2	72	85	99	31	95	55	
		Student 3	46	84	63	70	30	96	
		Student 4	92	12	49	90	50	43	
		Student 5	43	10	44	25	67	65	
		Student 6	61	71	70	65	11	50	
		Student 7	89	13	31	97	89	60	
		Student 8	79	80	57	54	33	98	
		Student 9	64	42	52	86	50	79	
		Student 10	84	54	85	91	70	40	
		Student 11	44	75	74	30	20	28	
		Student 12	18	37	15	18	49	23	
		Student 13	96	78	30	89	23	59	
		Student 14	14	66	11	45	99	31	
		Student 15	49	78	19	15	41	17	
		Student 16	93	89	76	30	83	58	
		Student 17	51	88	88	64	94	52	
		Student 18	55	21	48	81	27	85	
		Student 19	70	93	55	26	97	53	
		Student 20	95	50	95	61	41	76	
		Student 21	46	76	97	47	58	62	
		Student 22	36	71	25	94	95	49	
		Student 23	45	61	11	89	15	46	
		Student 24	52	59	40	43	50	99	
		Student 25	81	77	68	57	98	28	
		Student 26	87	17	57	67	93	75	
		Student 27	88	31	29	44	17	62	
		Student 28	95	44	66	48	42	81	
		Student 29	72	21	92	47	63	44	
		Student 30	74	23	15	97	83	72	
		Student 31	50	72	21	62	23	84	
		Student 32	25	44	54	89	11	86	
		Student 33	34	97	80	60	69	44	
		Student 34	39	25	23	98	72	24	
		Student 35	72	29	47	49	46	64	
		Student 36	45	13	69	66	75	44	
		Student 37	44	42	81	81	62	65	
		Student 38	32	92	76	52	11	86	
		Student 39	77	37	35	17	33	64	
		Student 40	88	15	35	33	22	12	
		Student 41	17	61	40	75	36	20	
		Student 42	35	99	24	88	43	26	
		Student 43	19	18	44	41	19	96	
		Student 44	62	81	44	61	79	86	
		Student 45	51	20	61	34	55	38	
		Student 46	71	82	55	83	49	73	
		Student 47	44	50	76	23	18	45	
		Student 48	40	35	23	22	66	98	
		Student 49	44	52	16	65	74	27	
	Semester 6
